1649134730,0.1518
1649134741,0.1518
1649134753,0.1519
1649134764,0.1522
1649134775,0.1522
1649134877,0.152
1649134889,0.1518
1649134900,0.1519
1649135983,0.1513
1649135994,0.1513
1649136007,0.1514
1649136018,0.1514
1649136030,0.1513
1649136044,0.1514
1649136056,0.1514
1649136067,0.1514
1649136079,0.1513
1649136091,0.1513
1649136102,0.1514
1649136114,0.1514
1649136126,0.1515
1649136137,0.1516
1649136149,0.1515
1649136161,0.1515
1649136172,0.1514
1649136192,0.1517
1649136204,0.1517
1649136215,0.1517
1649136226,0.1517
1649136237,0.1516
1649136248,0.1516
1649136260,0.1517
1649136272,0.1518
